time	Abdomen Tapping	Approach	Female Attack	Freezing	Grooming	Leg Showcase	Mounted	Orientation	Pedipalp Insertion	Pedipalp Showcase	Random Locomotion	Retreat	Vibration interaction
2921.75	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.76	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.77	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.78	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.79	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.8	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.81	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.82	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.83	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.84	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.85	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.86	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.87	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.88	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.89	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.9	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.91	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.92	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.93	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.94	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.95	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.96	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.97	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.98	0	1	0	0	0	1	0	0	0	0	0	0	0
2921.99	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.0	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.01	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.02	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.03	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.04	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.05	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.06	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.07	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.08	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.09	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.1	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.11	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.12	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.13	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.14	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.15	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.16	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.17	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.18	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.19	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.2	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.21	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.22	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.23	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.24	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.25	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.26	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.27	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.28	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.29	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.3	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.31	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.32	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.33	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.34	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.35	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.36	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.37	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.38	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.39	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.4	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.41	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.42	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.43	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.44	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.45	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.46	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.47	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.48	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.49	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.5	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.51	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.52	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.53	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.54	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.55	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.56	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.57	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.58	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.59	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.6	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.61	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.62	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.63	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.64	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.65	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.66	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.67	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.68	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.69	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.7	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.71	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.72	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.73	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.74	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.75	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.76	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.77	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.78	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.79	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.8	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.81	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.82	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.83	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.84	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.85	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.86	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.87	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.88	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.89	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.9	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.91	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.92	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.93	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.94	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.95	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.96	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.97	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.98	0	1	0	0	0	1	0	0	0	0	0	0	0
2922.99	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.0	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.01	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.02	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.03	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.04	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.05	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.06	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.07	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.08	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.09	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.1	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.11	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.12	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.13	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.14	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.15	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.16	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.17	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.18	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.19	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.2	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.21	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.22	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.23	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.24	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.25	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.26	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.27	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.28	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.29	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.3	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.31	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.32	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.33	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.34	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.35	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.36	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.37	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.38	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.39	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.4	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.41	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.42	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.43	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.44	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.45	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.46	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.47	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.48	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.49	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.5	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.51	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.52	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.53	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.54	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.55	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.56	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.57	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.58	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.59	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.6	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.61	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.62	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.63	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.64	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.65	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.66	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.67	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.68	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.69	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.7	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.71	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.72	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.73	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.74	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.75	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.76	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.77	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.78	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.79	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.8	0	1	0	0	0	1	0	0	0	0	0	0	0
