"","Behavior 0","Behavior 1","Mating ID"
"36","Abdomen Tapping","Pedipalp Showcase","g2.J124xG32"
"37","Pedipalp Showcase","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"38","Leg Showcase + Pedipalp Showcase","Leg Showcase","g2.J124xG32"
"39","Leg Showcase","Freezing","g2.J124xG32"
"40","Freezing","Pedipalp Showcase","g2.J124xG32"
"41","Pedipalp Showcase","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"42","Leg Showcase + Pedipalp Showcase","Leg Showcase","g2.J124xG32"
"43","Leg Showcase","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"44","Leg Showcase + Pedipalp Showcase","Leg Showcase","g2.J124xG32"
"45","Leg Showcase","Freezing","g2.J124xG32"
"46","Freezing","Abdomen Tapping","g2.J124xG32"
"47","Abdomen Tapping","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"48","Leg Showcase + Pedipalp Showcase","Leg Showcase","g2.J124xG32"
"49","Leg Showcase","Freezing","g2.J124xG32"
"50","Freezing","Abdomen Tapping","g2.J124xG32"
"51","Abdomen Tapping","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"52","Leg Showcase + Pedipalp Showcase","Freezing","g2.J124xG32"
"53","Freezing","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"54","Leg Showcase + Pedipalp Showcase","Freezing","g2.J124xG32"
"55","Freezing","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"56","Leg Showcase + Pedipalp Showcase","Pedipalp Showcase","g2.J124xG32"
"57","Pedipalp Showcase","Freezing","g2.J124xG32"
"58","Freezing","Abdomen Tapping","g2.J124xG32"
"59","Abdomen Tapping","Freezing","g2.J124xG32"
"60","Freezing","Leg Showcase","g2.J124xG32"
"61","Leg Showcase","Freezing","g2.J124xG32"
"62","Freezing","Leg Showcase","g2.J124xG32"
"63","Leg Showcase","Freezing","g2.J124xG32"
"64","Freezing","Leg Showcase","g2.J124xG32"
"65","Leg Showcase","Freezing","g2.J124xG32"
"66","Freezing","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"67","Leg Showcase + Pedipalp Showcase","Freezing","g2.J124xG32"
"68","Freezing","Leg Showcase + Pedipalp Showcase","g2.J124xG32"
"69","Leg Showcase + Pedipalp Showcase","Freezing","g2.J124xG32"
"70","Freezing","Mounting.Start","g2.J124xG32"
"71","Mounting.Start","Leg Showcase + Mounted + Pedipalp Showcase","g2.J124xG32"
"72","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g2.J124xG32"
"73","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g2.J124xG32"
"74","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g2.J124xG32"
"75","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g2.J124xG32"
"76","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g2.J124xG32"
"77","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g2.J124xG32"
"78","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g2.J124xG32"
"79","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g2.J124xG32"
"80","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g2.J124xG32"
"81","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g2.J124xG32"
