time	Abdomen Tapping	Approach	Freezing	Grooming	Leg Showcase	Mounted	Pedipalp Showcase	Retreat	Vibration interaction
3699.25	0	1	1	0	0	0	0	0	0
3699.26	0	1	1	0	0	0	0	0	0
3699.27	0	1	1	0	0	0	0	0	0
3699.28	0	1	1	0	0	0	0	0	0
3699.29	0	1	1	0	0	0	0	0	0
3699.3	0	1	1	0	0	0	0	0	0
3699.31	0	1	1	0	0	0	0	0	0
3699.32	0	1	1	0	0	0	0	0	0
3699.33	0	1	1	0	0	0	0	0	0
3699.34	0	1	1	0	0	0	0	0	0
3699.35	0	1	1	0	0	0	0	0	0
3699.36	0	1	1	0	0	0	0	0	0
3699.37	0	1	1	0	0	0	0	0	0
3699.38	0	1	1	0	0	0	0	0	0
3699.39	0	1	1	0	0	0	0	0	0
3699.4	0	1	1	0	0	0	0	0	0
3699.41	0	1	1	0	0	0	0	0	0
3699.42	0	1	1	0	0	0	0	0	0
3699.43	0	1	1	0	0	0	0	0	0
3699.44	0	1	1	0	0	0	0	0	0
3699.45	0	1	1	0	0	0	0	0	0
3699.46	0	1	1	0	0	0	0	0	0
3699.47	0	1	1	0	0	0	0	0	0
3699.48	0	1	1	0	0	0	0	0	0
3699.49	0	1	1	0	0	0	0	0	0
3699.5	0	1	1	0	0	0	0	0	0
3699.51	0	1	1	0	0	0	0	0	0
3699.52	0	1	1	0	0	0	0	0	0
3699.53	0	1	1	0	0	0	0	0	0
3699.54	0	1	1	0	0	0	0	0	0
3699.55	0	1	1	0	0	0	0	0	0
3699.56	0	1	1	0	0	0	0	0	0
3699.57	0	1	1	0	0	0	0	0	0
3699.58	0	1	1	0	0	0	0	0	0
3699.59	0	1	1	0	0	0	0	0	0
3699.6	0	1	1	0	0	0	0	0	0
3699.61	0	1	1	0	0	0	0	0	0
3699.62	0	1	1	0	0	0	0	0	0
3699.63	0	1	1	0	0	0	0	0	0
3699.64	0	1	1	0	0	0	0	0	0
3699.65	0	1	1	0	0	0	0	0	0
3699.66	0	1	1	0	0	0	0	0	0
3699.67	0	1	1	0	0	0	0	0	0
3699.68	0	1	1	0	0	0	0	0	0
3699.69	0	1	1	0	0	0	0	0	0
3699.7	0	1	1	0	0	0	0	0	0
3699.71	0	1	1	0	0	0	0	0	0
3699.72	0	1	1	0	0	0	0	0	0
3699.73	0	1	1	0	0	0	0	0	0
3699.74	0	1	1	0	0	0	0	0	0
3699.75	0	1	1	0	0	0	0	0	0
3699.76	0	1	1	0	0	0	0	0	0
3699.77	0	1	1	0	0	0	0	0	0
3699.78	0	1	1	0	0	0	0	0	0
3699.79	0	1	1	0	0	0	0	0	0
3699.8	0	1	1	0	0	0	0	0	0
3699.81	0	1	1	0	0	0	0	0	0
3699.82	0	1	1	0	0	0	0	0	0
3699.83	0	1	1	0	0	0	0	0	0
3699.84	0	1	1	0	0	0	0	0	0
3699.85	0	1	1	0	0	0	0	0	0
3699.86	0	1	1	0	0	0	0	0	0
3699.87	0	1	1	0	0	0	0	0	0
3699.88	0	1	1	0	0	0	0	0	0
3699.89	0	1	1	0	0	0	0	0	0
3699.9	0	1	1	0	0	0	0	0	0
3699.91	0	1	1	0	0	0	0	0	0
3699.92	0	1	1	0	0	0	0	0	0
3699.93	0	1	1	0	0	0	0	0	0
3699.94	0	1	1	0	0	0	0	0	0
3699.95	0	1	1	0	0	0	0	0	0
3699.96	0	1	1	0	0	0	0	0	0
3699.97	0	1	1	0	0	0	0	0	0
3699.98	0	1	1	0	0	0	0	0	0
3699.99	0	1	1	0	0	0	0	0	0
3700.0	0	1	1	0	0	0	0	0	0
3700.01	0	1	1	0	0	0	0	0	0
3700.02	0	1	1	0	0	0	0	0	0
3700.03	0	1	1	0	0	0	0	0	0
3700.04	0	1	1	0	0	0	0	0	0
3700.05	0	1	1	0	0	0	0	0	0
3700.06	0	1	1	0	0	0	0	0	0
3700.07	0	1	1	0	0	0	0	0	0
3700.08	0	1	1	0	0	0	0	0	0
3700.09	0	1	1	0	0	0	0	0	0
3700.1	0	1	1	0	0	0	0	0	0
3700.11	0	1	1	0	0	0	0	0	0
3700.12	0	1	1	0	0	0	0	0	0
3700.13	0	1	1	0	0	0	0	0	0
3700.14	0	1	1	0	0	0	0	0	0
3700.15	0	1	1	0	0	0	0	0	0
3700.16	0	1	1	0	0	0	0	0	0
3700.17	0	1	1	0	0	0	0	0	0
3700.18	0	1	1	0	0	0	0	0	0
3700.19	0	1	1	0	0	0	0	0	0
3700.2	0	1	1	0	0	0	0	0	0
3700.21	0	1	1	0	0	0	0	0	0
3700.22	0	1	1	0	0	0	0	0	0
3700.23	0	1	1	0	0	0	0	0	0
3700.24	0	1	1	0	0	0	0	0	0
3700.25	0	1	1	0	0	0	0	0	0
3700.26	0	1	1	0	0	0	0	0	0
3700.27	0	1	1	0	0	0	0	0	0
3700.28	0	1	1	0	0	0	0	0	0
3700.29	0	1	1	0	0	0	0	0	0
3700.3	0	1	1	0	0	0	0	0	0
3700.31	0	1	1	0	0	0	0	0	0
3700.32	0	1	1	0	0	0	0	0	0
3700.33	0	1	1	0	0	0	0	0	0
3700.34	0	1	1	0	0	0	0	0	0
3700.35	0	1	1	0	0	0	0	0	0
3700.36	0	1	1	0	0	0	0	0	0
3700.37	0	1	1	0	0	0	0	0	0
3700.38	0	1	1	0	0	0	0	0	0
3700.39	0	1	1	0	0	0	0	0	0
3700.4	0	1	1	0	0	0	0	0	0
3700.41	0	1	1	0	0	0	0	0	0
3700.42	0	1	1	0	0	0	0	0	0
3700.43	0	1	1	0	0	0	0	0	0
3700.44	0	1	1	0	0	0	0	0	0
3700.45	0	1	1	0	0	0	0	0	0
3700.46	0	1	1	0	0	0	0	0	0
3700.47	0	1	1	0	0	0	0	0	0
3700.48	0	1	1	0	0	0	0	0	0
3700.49	0	1	1	0	0	0	0	0	0
3700.5	0	1	1	0	0	0	0	0	0
3700.51	0	1	1	0	0	0	0	0	0
3700.52	0	1	1	0	0	0	0	0	0
3700.53	0	1	1	0	0	0	0	0	0
3700.54	0	1	1	0	0	0	0	0	0
3700.55	0	1	1	0	0	0	0	0	0
3700.56	0	1	1	0	0	0	0	0	0
3700.57	0	1	1	0	0	0	0	0	0
3700.58	0	1	1	0	0	0	0	0	0
3700.59	0	1	1	0	0	0	0	0	0
3700.6	0	1	1	0	0	0	0	0	0
3700.61	0	1	1	0	0	0	0	0	0
3700.62	0	1	1	0	0	0	0	0	0
3700.63	0	1	1	0	0	0	0	0	0
3700.64	0	1	1	0	0	0	0	0	0
3700.65	0	1	1	0	0	0	0	0	0
3700.66	0	1	1	0	0	0	0	0	0
3700.67	0	1	1	0	0	0	0	0	0
3700.68	0	1	1	0	0	0	0	0	0
3700.69	0	1	1	0	0	0	0	0	0
3700.7	0	1	1	0	0	0	0	0	0
3700.71	0	1	1	0	0	0	0	0	0
3700.72	0	1	1	0	0	0	0	0	0
3700.73	0	1	1	0	0	0	0	0	0
3700.74	0	1	1	0	0	0	0	0	0
3700.75	0	1	1	0	0	0	0	0	0
3700.76	0	1	1	0	0	0	0	0	0
3700.77	0	1	1	0	0	0	0	0	0
3700.78	0	1	1	0	0	0	0	0	0
3700.79	0	1	1	0	0	0	0	0	0
3700.8	0	1	1	0	0	0	0	0	0
3700.81	0	1	1	0	0	0	0	0	0
3700.82	0	1	1	0	0	0	0	0	0
3700.83	0	1	1	0	0	0	0	0	0
3700.84	0	1	1	0	0	0	0	0	0
3700.85	0	1	1	0	0	0	0	0	0
3700.86	0	1	1	0	0	0	0	0	0
3700.87	0	1	1	0	0	0	0	0	0
3700.88	0	1	1	0	0	0	0	0	0
3700.89	0	1	1	0	0	0	0	0	0
3700.9	0	1	1	0	0	0	0	0	0
3700.91	0	1	1	0	0	0	0	0	0
3700.92	0	1	1	0	0	0	0	0	0
3700.93	0	1	1	0	0	0	0	0	0
3700.94	0	1	1	0	0	0	0	0	0
3700.95	0	1	1	0	0	0	0	0	0
3700.96	0	1	1	0	0	0	0	0	0
3700.97	0	1	1	0	0	0	0	0	0
3700.98	0	1	1	0	0	0	0	0	0
3700.99	0	1	1	0	0	0	0	0	0
3701.0	0	1	1	0	0	0	0	0	0
3701.01	0	1	1	0	0	0	0	0	0
3701.02	0	1	1	0	0	0	0	0	0
3701.03	0	1	1	0	0	0	0	0	0
3701.04	0	1	1	0	0	0	0	0	0
3701.05	0	1	1	0	0	0	0	0	0
3701.06	0	1	1	0	0	0	0	0	0
3701.07	0	1	1	0	0	0	0	0	0
3701.08	0	1	1	0	0	0	0	0	0
3701.09	0	1	1	0	0	0	0	0	0
3701.1	0	1	1	0	0	0	0	0	0
3701.11	0	1	1	0	0	0	0	0	0
3701.12	0	1	1	0	0	0	0	0	0
3701.13	0	1	1	0	0	0	0	0	0
3701.14	0	1	1	0	0	0	0	0	0
3701.15	0	1	1	0	0	0	0	0	0
3701.16	0	1	1	0	0	0	0	0	0
3701.17	0	1	1	0	0	0	0	0	0
3701.18	0	1	1	0	0	0	0	0	0
3701.19	0	1	1	0	0	0	0	0	0
3701.2	0	1	1	0	0	0	0	0	0
3701.21	0	1	1	0	0	0	0	0	0
3701.22	0	1	1	0	0	0	0	0	0
3701.23	0	1	1	0	0	0	0	0	0
3701.24	0	1	1	0	0	0	0	0	0
3701.25	0	1	1	0	0	0	0	0	0
3701.26	0	1	1	0	0	0	0	0	0
3701.27	0	1	1	0	0	0	0	0	0
3701.28	0	1	1	0	0	0	0	0	0
3701.29	0	1	1	0	0	0	0	0	0
3701.3	0	1	1	0	0	0	0	0	0
3701.31	0	1	1	0	0	0	0	0	0
3701.32	0	1	1	0	0	0	0	0	0
3701.33	0	1	1	0	0	0	0	0	0
3701.34	0	1	1	0	0	0	0	0	0
3701.35	0	1	1	0	0	0	0	0	0
3701.36	0	1	1	0	0	0	0	0	0
3701.37	0	1	1	0	0	0	0	0	0
3701.38	0	1	1	0	0	0	0	0	0
3701.39	0	1	1	0	0	0	0	0	0
3701.4	0	1	1	0	0	0	0	0	0
3701.41	0	1	1	0	0	0	0	0	0
3701.42	0	1	1	0	0	0	0	0	0
3701.43	0	1	1	0	0	0	0	0	0
3701.44	0	1	1	0	0	0	0	0	0
3701.45	0	1	1	0	0	0	0	0	0
3701.46	0	1	1	0	0	0	0	0	0
3701.47	0	1	1	0	0	0	0	0	0
3701.48	0	1	1	0	0	0	0	0	0
3701.49	0	1	1	0	0	0	0	0	0
3701.5	0	1	1	0	0	0	0	0	0
3701.51	0	1	1	0	0	0	0	0	0
3701.52	0	1	1	0	0	0	0	0	0
3701.53	0	1	1	0	0	0	0	0	0
3701.54	0	1	1	0	0	0	0	0	0
3701.55	0	1	1	0	0	0	0	0	0
3701.56	0	1	1	0	0	0	0	0	0
3701.57	0	1	1	0	0	0	0	0	0
3701.58	0	1	1	0	0	0	0	0	0
3701.59	0	1	1	0	0	0	0	0	0
3701.6	0	1	1	0	0	0	0	0	0
3701.61	0	1	1	0	0	0	0	0	0
3701.62	0	1	1	0	0	0	0	0	0
3701.63	0	1	1	0	0	0	0	0	0
3701.64	0	1	1	0	0	0	0	0	0
3701.65	0	1	1	0	0	0	0	0	0
3701.66	0	1	1	0	0	0	0	0	0
3701.67	0	1	1	0	0	0	0	0	0
3701.68	0	1	1	0	0	0	0	0	0
3701.69	0	1	1	0	0	0	0	0	0
3701.7	0	1	1	0	0	0	0	0	0
3701.71	0	1	1	0	0	0	0	0	0
3701.72	0	1	1	0	0	0	0	0	0
3701.73	0	1	1	0	0	0	0	0	0
3701.74	0	1	1	0	0	0	0	0	0
3701.75	0	1	1	0	0	0	0	0	0
3701.76	0	1	1	0	0	0	0	0	0
3701.77	0	1	1	0	0	0	0	0	0
3701.78	0	1	1	0	0	0	0	0	0
3701.79	0	1	1	0	0	0	0	0	0
3701.8	0	1	1	0	0	0	0	0	0
3701.81	0	1	1	0	0	0	0	0	0
3701.82	0	1	1	0	0	0	0	0	0
3701.83	0	1	1	0	0	0	0	0	0
3701.84	0	1	1	0	0	0	0	0	0
3701.85	0	1	1	0	0	0	0	0	0
3701.86	0	1	1	0	0	0	0	0	0
3701.87	0	1	1	0	0	0	0	0	0
3701.88	0	1	1	0	0	0	0	0	0
3701.89	0	1	1	0	0	0	0	0	0
3701.9	0	1	1	0	0	0	0	0	0
3701.91	0	1	1	0	0	0	0	0	0
3701.92	0	1	1	0	0	0	0	0	0
3701.93	0	1	1	0	0	0	0	0	0
3701.94	0	1	1	0	0	0	0	0	0
3701.95	0	1	1	0	0	0	0	0	0
3701.96	0	1	1	0	0	0	0	0	0
3701.97	0	1	1	0	0	0	0	0	0
3701.98	0	1	1	0	0	0	0	0	0
3701.99	0	1	1	0	0	0	0	0	0
3702.0	0	1	1	0	0	0	0	0	0
3702.01	0	1	1	0	0	0	0	0	0
3702.02	0	1	1	0	0	0	0	0	0
3702.03	0	1	1	0	0	0	0	0	0
3702.04	0	1	1	0	0	0	0	0	0
3702.05	0	1	1	0	0	0	0	0	0
3702.06	0	1	1	0	0	0	0	0	0
3702.07	0	1	1	0	0	0	0	0	0
3702.08	0	1	1	0	0	0	0	0	0
3702.09	0	1	1	0	0	0	0	0	0
3702.1	0	1	1	0	0	0	0	0	0
3702.11	0	1	1	0	0	0	0	0	0
