"","experiment","Female","Male","Female.species","Male.species","Species.cross","Date","Narration.ID","Experiment.ended.early..T.F.","Reason.early.end","Notes","Mesh.design","Two.Cameras..T.F.","Female.left.overnight","Backed.up.on.University.server","Palp.Broken","Which.Palp.Broken","female.last.moult","female.days.since.last.moult","male.last.moult","male.day.since.last.moult","X","lag.period.duration","number.of.attacks","number.of.recoils","number.of.flees","number.of.courtships","total.courtship.duration","mean.courtship.length","number.of.mounts","total.mount.duration","mean.mount.length","copulation","copulation.pedipalps.used","duration.of.left.copulation","duration.of.right.copulation","attempted.copulation","attempt.pedipalps.used","pre.copulatory.kill","post.copulatory.kill","cannibalism","duration.of.trial","trial.cut.short","latency.to.attack","latency.to.mount","latency.to.touch","latency.to.copulate","uneventful","complete","malematedbefore","femalematedbefore"
"22","Attempt 21 J188 x H26","J188","H26","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-23,"2",FALSE,"Na","","Sloped",TRUE,"T",TRUE,"T","Right","22/03/2021",32,"2/04/2021",21,22,4683.683,0,0,4,6,9394.323,1565.7205,12,6251.119,520.926583333333,FALSE,NA,NA,NA,TRUE,"right",FALSE,FALSE,FALSE,14406.72,FALSE,NA,6800.881,6697.141,NA,FALSE,TRUE,FALSE,FALSE
"23","Attempt 22 J148 x J208","J148","J208","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-29,"1",FALSE,"Na","Tradescantia used","Sloped",TRUE,"Na",FALSE,"","","28/04/2021",1,"28/04/2021",1,23,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14536.8,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"24","Attempt 23 J192 x J132","J192","J132","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-30,"1",FALSE,"Na","Tradescantia used","Sloped",TRUE,"Na",TRUE,"T","Both","23/03/2021",38,"7/04/2021",23,24,1367.902,0,0,4,3,4755.242,1585.08066666667,7,3058.292,436.898857142857,FALSE,NA,NA,NA,TRUE,"both",FALSE,FALSE,FALSE,14505.6,FALSE,NA,1692.839,1371.964,NA,FALSE,TRUE,FALSE,FALSE
"25","Attempt 24 J185 x G16","J185","G16","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-30,"2",FALSE,"Na","Tradescantia used","Sloped",TRUE,"Na",TRUE,"F",NA,"30/03/2021",31,"19/04/2021",11,25,5475.322,0,0,9,12,8557.491,713.12425,22,5073.959,230.6345,FALSE,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,14502.72,FALSE,NA,5823.857,5667.985,NA,FALSE,TRUE,FALSE,FALSE
"26","Attempt 25 J199 x J180","J199","J180","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-05,"1",FALSE,"Na","Tradescantia used","Top mesh",TRUE,"Na",TRUE,"F",NA,"24/04/2021",11,"5/03/2021",61,26,NA,3,0,3,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14556.48,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"27","Attempt 26 J200 x J134","J200","J134","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-05,"2",FALSE,"Na","Tradescantia used","Top mesh",TRUE,"Na",TRUE,"F",NA,"7/04/2021",28,"30/03/2021",36,27,480.19,2,0,3,3,3273.622,1091.20733333333,5,773.641000000001,154.7282,FALSE,NA,NA,NA,TRUE,"both",FALSE,FALSE,FALSE,14482.56,FALSE,3085.36,2235.512,1752.577,NA,FALSE,TRUE,FALSE,FALSE
"28","Attempt 27 J195 x G13","J195","G13","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-07,"1",FALSE,"Na","Camera 2-1 corrupted","Top mesh",TRUE,"T",TRUE,"F",NA,"14/04/2021",23,"12/03/2021",56,28,108.843,2,0,3,2,4009.876,2004.938,5,2999.195,599.839,FALSE,NA,NA,NA,TRUE,"both",FALSE,FALSE,FALSE,14532,FALSE,1336.488,630.433,398.873,NA,FALSE,TRUE,FALSE,FALSE
"82","Set #01 Focals J191 x J68","J191","J68","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-07,"",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,"T","Both","3/04/2021",34,"24/11/2020",164,83,2904.655,1,0,5,4,6430.003,1607.50075,14,5013.094,358.078142857143,TRUE,"left",1.5010000000002,NA,TRUE,"both",FALSE,FALSE,FALSE,14460,FALSE,9461.758,3255.685,3108.033,9460.377,FALSE,TRUE,FALSE,FALSE
"29","Attempt 28 J179 x J140","J179","J140","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-11,"1",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,"F",NA,"15/04/2021",26,"20/01/2021",111,29,3253.703,0,0,3,4,10401.875,2600.46875,31,6018.614,194.148838709677,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14511.84,FALSE,NA,5053.091,4742.133,NA,FALSE,TRUE,FALSE,FALSE
"90","Set #02 Focals J190 x J42","J190","J42","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-11,"2",TRUE,"Kill","Based copulation duration off when male originallt stops moving. Male remains with palp inserted for a long time post mortum. This is noted with a Bookmark","Top mesh",TRUE,"T",TRUE,"F",NA,"15/04/2021",26,"11/03/2021",61,91,665.758,2,0,2,3,2707.959,902.653,5,1250.585,250.117,TRUE,"left",19.4249999999997,NA,TRUE,"both",FALSE,TRUE,TRUE,5024.64,TRUE,1617.996,1059.066,958.758,3539.866,FALSE,TRUE,FALSE,FALSE
