"","experiment","Female","Male","Female.species","Male.species","Species.cross","Date","Narration.ID","Experiment.ended.early..T.F.","Reason.early.end","Notes","Mesh.design","Two.Cameras..T.F.","Female.left.overnight","Backed.up.on.University.server","Palp.Broken","Which.Palp.Broken","female.last.moult","female.days.since.last.moult","male.last.moult","male.day.since.last.moult","X","lag.period.duration","number.of.attacks","number.of.recoils","number.of.flees","number.of.courtships","total.courtship.duration","mean.courtship.length","number.of.mounts","total.mount.duration","mean.mount.length","copulation","copulation.pedipalps.used","duration.of.left.copulation","duration.of.right.copulation","attempted.copulation","attempt.pedipalps.used","pre.copulatory.kill","post.copulatory.kill","cannibalism","duration.of.trial","trial.cut.short","latency.to.attack","latency.to.mount","latency.to.touch","latency.to.copulate","uneventful","complete","malematedbefore","femalematedbefore"
"129","Set #09 Focal J110 x Non-focal J140","J110","J140","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-09,"1",TRUE,"Kill","","Top mesh",FALSE,"T",TRUE,"F",NA,"21/04/2021",79,"20/01/2021",170,131,1335.054,0,1,0,5,5306.065,1061.213,4,3163.985,790.99625,FALSE,NA,NA,NA,TRUE,"left",TRUE,FALSE,TRUE,7969.92,TRUE,NA,3150.919,2469.809,NA,FALSE,TRUE,FALSE,TRUE
"135","Set #10 Focal G26 x Non-focal H37","G26","H37","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-09,"2",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"F",NA,"9/04/2021",91,"12/03/2021",119,137,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14429.76,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
"141","Set #10 Non-focal J197 x Focal J203","J197","J203","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-09,"3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Left","6/04/2021",94,"21/04/2021",79,143,6273.058,0,0,0,6,7309.554,1218.259,19,1802.01000000001,94.842631578948,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14395.68,TRUE,NA,8321.341,6404.883,NA,FALSE,TRUE,TRUE,FALSE
"60","Attempt 60 H61 x J132","H61","J132","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-12,"4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Both","22/04/2021",81,"7/04/2021",96,60,7910.136,0,0,1,2,6534.574,3267.287,22,1500.657,68.2116818181818,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14477.28,FALSE,NA,10445.417,9817.655,NA,FALSE,TRUE,FALSE,FALSE
"119","Set #07 Non-focal H57 x Focal G39","H54","G39","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-12,"3",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"T","Left",NA,NA,"26/05/2021",47,121,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14502.72,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"128","Set #09 Focal J110 x Non-focal J133","J110","J133","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-12,"1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"21/04/2021",82,"10/03/2021",124,130,1733.584,0,0,1,4,12543.001,3135.75025,8,9597.095,1199.636875,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14484,FALSE,NA,2946.908,NA,NA,FALSE,TRUE,FALSE,TRUE
"136","Set #10 Focal G26 x Non-focal H73","G26","H73","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-12,"2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"","","9/04/2021",94,"21/05/2021",52,138,11013.597,1,0,1,1,216.524000000001,216.524000000001,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14489.28,FALSE,11227.872,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
"93","Set #03 Focal J189 x Non-focal H75","J189","H75","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-13,"4",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"","","15/04/2021",89,"2/06/2021",41,94,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14583.36,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
"132","Set #09 Non-focal J157 x Focal H67","J157","H67","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-13,"3",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"T","Both","15/04/2021",89,"26/05/2021",48,134,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14570.4,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"140","Set #10 Non-focal J182 x Focal J203","J182","J203","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-13,"1",FALSE,"Na","male attempted with l;eft palp, despite that embolus being broken already","Top mesh",FALSE,"T",TRUE,"T","Left","15/04/2021",89,"21/04/2021",83,142,7355.037,1,0,1,3,5908.357,1969.45233333333,5,3591.945,718.389,FALSE,NA,NA,NA,TRUE,"left",FALSE,FALSE,FALSE,14553.6,FALSE,12768.415,9031.465,8229.505,NA,FALSE,TRUE,TRUE,FALSE
"61","Attempt 61 J148 x G37","J148","G37","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-14,"4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"28/04/2021",77,"2/06/2021",42,61,3547.641,3,0,6,1,1273.749,1273.749,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14496.48,FALSE,9454.1,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"121","Set #07 Non-focal J176 x Focal G39","J176","G39","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-14,"3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Left","22/03/2021",114,"26/05/2021",49,123,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14491.2,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"130","Set #09 Focal J110 x Non-focal J215","J110","J215","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-14,"2",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"","","21/04/2021",84,NA,NA,132,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14506.08,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
"134","Set #10 Focal G26 x Non-focal G33","G26","G33","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-14,"1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"","","9/04/2021",96,"19/05/2021",56,136,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14538.24,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
"62","Attempt 62 J123 x H64","J123","H64","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-15,"1",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"F",NA,"21/04/2021",85,"5/05/2021",71,62,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14499.36,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"63","Attempt 64 J125 x J210","J125","J210","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-15,"4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"15/04/2021",91,"2/06/2021",43,64,10930.134,0,1,2,3,3297.028,1099.00933333333,4,1122.308,280.577,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14523.84,FALSE,NA,13024.189,11949.589,NA,FALSE,TRUE,FALSE,FALSE
"64","Attempt 65 J122 x G36","J122","G36","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-16,"3",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"F",NA,"9/04/2021",98,"19/05/2021",58,65,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14498.88,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"65","Attempt 66 J103 x G32","J103","G32","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-16,"4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"21/04/2021",86,"14/06/2021",32,66,8347.293,0,1,1,4,6023.544,1505.886,8,4235.991,529.498875,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14508.96,FALSE,NA,9336.613,8442.943,NA,FALSE,TRUE,FALSE,FALSE
"138","Set #10 Non-focal G09 x Focal J203","G09","J203","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-16,"1",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"T","Left","16/04/2021",91,"21/04/2021",86,140,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14495.52,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"145","Set #11 Focals H30 x H71","H30","H71","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-16,"2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Left","16/04/2021",91,"26/05/2021",51,147,5207.286,2,0,1,3,9011.74,3003.91333333333,17,6048.389,355.787588235294,TRUE,"left",0.22899999999936,NA,FALSE,NA,FALSE,FALSE,FALSE,14488.8,FALSE,9748.622,6618.923,5578.261,9748.372,FALSE,TRUE,FALSE,FALSE
"66","Attempt 67 H34 x H52","H34","H52","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-19,"2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"","","16/04/2021",94,"7/04/2021",103,67,7017.377,1,0,1,2,6840.697,3420.3485,9,2254.369,250.485444444445,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14421.6,FALSE,7451.187,10289.758,7060.137,NA,FALSE,TRUE,FALSE,FALSE
"139","Set #10 Non-focal J135 x Focal J203","J135","J203","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-19,"1",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"T","Left","15/03/2021",126,"21/04/2021",89,141,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14475.36,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"67","Attempt 68 J163 x H37","J163","H37","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-20,"3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"30/03/2021",112,"12/03/2021",130,68,6338.081,1,0,3,6,7106.873,1184.47883333333,10,3738.2,373.82,FALSE,NA,NA,NA,TRUE,"right",FALSE,FALSE,FALSE,14568.48,FALSE,9213.331,6920.846,6588.766,NA,FALSE,TRUE,FALSE,FALSE
"133","Set #09 Non-focal J202 x Focal H67","J202","H67","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-20,"4",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"T","Both",NA,NA,"26/05/2021",55,135,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14586.72,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"142","Set #11 Focal H30 x Non-focal G38","H30","G38","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-20,"1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"16/04/2021",95,"7/06/2021",43,144,6169.326,0,0,4,4,8153.179,2038.29475,20,2894.211,144.71055,FALSE,NA,NA,NA,TRUE,"right",FALSE,FALSE,FALSE,14557.92,FALSE,NA,9761.024,8957.424,NA,FALSE,TRUE,TRUE,TRUE
"146","Set #11 Non-focal H43 x Focal H71","H43","H71","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-20,"2",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"T","Left","30/03/2021",112,"26/05/2021",55,148,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14535.36,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"68","Attempt 69 H50 x J210","H50","J210","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-21,"1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"14/04/2021",98,"2/06/2021",49,69,3575.655,0,0,5,6,10628.194,1771.36566666667,9,8872.128,985.792,FALSE,NA,NA,NA,TRUE,"both",FALSE,FALSE,FALSE,14498.4,FALSE,NA,4426.22,4235.773,NA,FALSE,TRUE,FALSE,FALSE
"69","Attempt 70 H22 x J215","H22","J215","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-21,"2",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"","","2/04/2021",110,NA,NA,70,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14435.04,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"70","Attempt 71 J186 x H73","J186","H73","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-21,"3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"","",NA,NA,"21/05/2021",61,71,12658.645,3,0,3,3,906.804,302.268,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14433.6,FALSE,8527.605,NA,12668.655,NA,FALSE,TRUE,FALSE,FALSE
"152","Set #12 Focals J124 x G42","J124","G42","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-21,"4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"24/03/2021",119,"24/05/2021",58,154,2823.953,2,0,6,5,10085.332,2017.0664,3,2146.366,715.455333333333,TRUE,"right",NA,2.42000000000007,TRUE,"left",FALSE,FALSE,FALSE,14429.28,FALSE,4616.146,3542.106,3311.118,4613.496,FALSE,TRUE,FALSE,FALSE
"71","Attempt 72 H23 x H38","H23","H38","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-22,"2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"14/04/2021",99,"9/04/2021",104,72,5911.846,0,0,0,2,8519.65,4259.825,16,5511.773,344.4858125,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14619.36,FALSE,NA,7582.079,7217.939,NA,FALSE,TRUE,FALSE,FALSE
"72","Attempt 73 J192 x G37","J192","G37","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-22,"3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"23/03/2021",121,"2/06/2021",50,73,10356.745,0,0,1,2,4084.61,2042.305,3,1431.505,477.168333333334,TRUE,"left",1.04000000000087,NA,FALSE,NA,FALSE,FALSE,FALSE,14586.24,FALSE,NA,12553.029,12332.069,13874.827,FALSE,TRUE,FALSE,FALSE
"73","Attempt 74 J185 x H64","J185","H64","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-22,"4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"30/03/2021",114,"5/05/2021",78,74,NA,1,0,2,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14580.48,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"159","Set #13 Focals H62 x J132","H62","J132","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-22,"1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Both","1/04/2021",112,"7/04/2021",106,161,5541.398,2,0,2,2,3859.168,1929.584,8,2278.259,284.782375,TRUE,"both",5,0.260000000000218,FALSE,NA,FALSE,FALSE,FALSE,14599.2,FALSE,6904.501,6007.963,5580.763,6904.241,FALSE,TRUE,FALSE,FALSE
"143","Set #11 Focal H30 x Non-focal H52","H30","H52","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-23,"1",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"","","16/04/2021",98,"7/04/2021",107,145,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14488.8,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
"148","Set #11 Non-focal J137 x Focal H71","J137","H71","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-23,"2",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"T","Left","14/04/2021",100,"26/05/2021",58,150,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14514.24,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"150","Set #12 Focal J124 x Non-focal G36","J124","G36","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-23,"3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"24/03/2021",121,"19/05/2021",65,152,NA,1,0,1,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14501.28,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
"153","Set #12 Non-focal J131 x Focal G42","J131","G42","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-23,"4",FALSE,"Na","male lost leg prior to experiment","Top mesh",FALSE,"T",TRUE,"F",NA,"6/04/2021",108,"24/05/2021",60,155,7045.802,2,0,2,5,5268.661,1053.7322,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14448.48,FALSE,2306.447,NA,NA,NA,FALSE,TRUE,TRUE,FALSE
"144","Set #11 Focal H30 x Non-focal H75","H30","H75","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-26,"1",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"","","16/04/2021",101,"2/06/2021",54,146,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14579.52,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
"147","Set #11 Non-focal J104 x Focal H71","J104","H71","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-26,"2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Left","23/03/2021",125,"26/05/2021",61,149,3152.735,0,0,1,1,291.608,291.608,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14502.72,FALSE,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE
"149","Set #12 Focal J124 x Non-focal G32","J124","G32","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-26,"3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"24/03/2021",124,"14/06/2021",42,151,7908.947,1,0,6,6,6218.833,1036.47216666667,8,2293.134,286.64175,FALSE,NA,NA,NA,TRUE,"both",FALSE,FALSE,FALSE,14533.44,FALSE,13025.597,11695.612,8847.319,NA,FALSE,TRUE,FALSE,TRUE
"154","Set #13 Focal H62 x Non-focal G33","H62","G33","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-27,"1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"","","1/04/2021",117,"19/05/2021",69,157,10793.119,0,0,0,1,3672.465,3672.465,2,2364.958,1182.479,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14507.52,FALSE,NA,11964.139,11437.972,NA,FALSE,TRUE,FALSE,TRUE
"163","Set #13 Non-focal J188 x Focal J132","J188","J132","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-27,"2",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"T","Both","22/03/2021",127,"7/04/2021",111,165,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14511.36,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"74","Attempt 75 H20 x J214","H20","J214","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-28,"2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"","","15/04/2021",104,"5/05/2021",84,75,NA,0,0,1,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14378.88,TRUE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"75","Attempt 76 J196 x H37","J196","H37","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-28,"3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"28/04/2021",91,"12/03/2021",138,76,195.485,0,0,1,2,2593.64,1296.82,3,563.282000000001,187.760666666667,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14420.64,FALSE,NA,12997.11,11976.85,NA,FALSE,TRUE,FALSE,TRUE
"151","Set #12 Focal J124 x Non-focal G41","J124","G41","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-28,"1",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"","","24/03/2021",126,"2/06/2021",56,153,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14362.56,TRUE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
"174","Set #15 Focals J201 x G43","J201","G43","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-28,"4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Both","19/04/2021",100,"2/06/2021",56,176,1469.427,3,0,4,4,4775.878,1193.9695,7,1638.166,234.023714285714,TRUE,"both",0.149999999999636,0.1200000000008,TRUE,"left",FALSE,FALSE,FALSE,14432.64,FALSE,1494.927,8048.397,7784.382,9561.575,FALSE,TRUE,FALSE,FALSE
"76","Attempt 77 H44 x G38","H44","G38","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-29,"2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"15/04/2021",105,"7/06/2021",52,77,9732.007,0,0,0,1,4728.148,4728.148,6,925.430999999999,154.2385,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14486.4,FALSE,NA,12957.382,11422.067,NA,FALSE,TRUE,TRUE,FALSE
"77","Attempt 78 J121 x J180","J121","J180","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-29,"3",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"F",NA,"15/04/2021",105,"5/03/2021",146,78,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14468.64,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"155","Set #13 Focal H62 x Non-focal G33 2","H62","G33","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-29,"1",FALSE,"Na","accidental rerun of previous experiment","Top mesh",FALSE,"T",TRUE,"","","1/04/2021",119,"19/05/2021",71,156,3978.612,1,1,2,2,9150.143,4575.0715,3,4339.834,1446.61133333333,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14528.64,FALSE,6195.637,9943.747,4774.785,NA,FALSE,TRUE,FALSE,TRUE
"167","Set #14 Focals G30 x J210","G30","J210","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-29,"4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Left","21/04/2021",99,"2/06/2021",57,169,882.286,1,0,3,5,9136.788,1827.3576,5,7951.624,1590.3248,TRUE,"left",0.149999999999636,NA,TRUE,"right",FALSE,FALSE,FALSE,14469.6,FALSE,9722.624,4238.254,4061.079,9722.424,FALSE,TRUE,FALSE,FALSE
"173","Set #15 Focal J201 x Non-focal J215","J201","J215","Dolomedes minor","Dolomedes minor","minor x minor",2021-08-01,"1",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"","","19/04/2021",104,NA,NA,175,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14509.44,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
"176","Set #15 Non-focal J141 x Focal G43","J141","G43","Dolomedes minor","Dolomedes minor","minor x minor",2021-08-01,"2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Both","14/04/2021",109,"2/06/2021",60,178,NA,0,0,1,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14479.68,FALSE,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE
"156","Set #13 Focal H62 x Non-focal H38","H62","H38","Dolomedes minor","Dolomedes minor","minor x minor",2021-08-02,"1",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"F",NA,"1/04/2021",123,"9/04/2021",115,158,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14514.72,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
"160","Set #13 Non-focal H54 x Focal J132","H54","J132","Dolomedes minor","Dolomedes minor","minor x minor",2021-08-02,"4",FALSE,"Na","Male attempted copulation with two broken palps. Leave as ""attempts"" for now","Top mesh",FALSE,"T",TRUE,"T","Both",NA,NA,"7/04/2021",117,162,336.694,1,1,12,13,12290.987,945.460538461539,36,3509.204,97.477888888889,FALSE,NA,NA,NA,TRUE,"both",FALSE,FALSE,FALSE,14474.88,FALSE,8664.702,2835.882,1827.564,NA,FALSE,TRUE,TRUE,FALSE
"166","Set #14 Focal G30 x Non-focal H73","G30","H73","Dolomedes minor","Dolomedes minor","minor x minor",2021-08-02,"2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"","","21/04/2021",103,"21/05/2021",73,168,11093.196,0,0,1,2,3249.88,1624.94,1,859.268,859.268,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14466.24,FALSE,NA,13583.406,13176.381,NA,FALSE,TRUE,FALSE,TRUE
"168","Set #14 Non-focal H47 x Focal J210","H47","J210","Dolomedes minor","Dolomedes minor","minor x minor",2021-08-02,"3",FALSE,"Na","Right palp listed as broken after this trial, but I think that's a mistake. Copulation attempte definitely looks like attempt only","Top mesh",FALSE,"T",TRUE,"T","Left","14/04/2021",110,"2/06/2021",61,170,506.386,0,0,3,8,11937.006,1492.12575,8,10601.845,1325.230625,FALSE,NA,NA,NA,TRUE,"right",FALSE,FALSE,FALSE,14464.32,FALSE,NA,3248.321,3134.828,NA,FALSE,TRUE,TRUE,FALSE
"172","Set #15 Focal J201 x Non-focal G37","J201","G37","Dolomedes minor","Dolomedes minor","minor x minor",2021-08-03,"1",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"F",NA,"19/04/2021",106,"2/06/2021",62,174,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14488.32,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE
