"","Behavior 0","Behavior 1","Mating ID"
"324","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"325","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"326","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"327","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"328","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"329","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"330","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"331","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"332","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"333","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"334","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"335","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"336","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"337","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"338","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"339","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"340","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"341","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"342","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"343","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"344","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"345","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"346","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"347","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"348","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"349","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"350","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"351","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"352","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"353","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"354","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"355","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"356","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"357","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"358","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"359","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"360","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"361","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"362","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"363","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"364","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"365","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"366","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"367","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"368","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"369","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
