"","Behavior 0","Behavior 1","Mating ID"
"156","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.H62xJ132"
"157","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.H62xJ132"
"158","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.H62xJ132"
"159","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.H62xJ132"
"160","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.H62xJ132"
"161","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.H62xJ132"
"162","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.H62xJ132"
"163","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.H62xJ132"
"164","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.H62xJ132"
"165","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.H62xJ132"
"166","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.H62xJ132"
"167","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.H62xJ132"
"168","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.H62xJ132"
"169","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.H62xJ132"
"170","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.H62xJ132"
"171","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.H62xJ132"
"172","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.H62xJ132"
"173","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.H62xJ132"
"174","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.H62xJ132"
"175","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.H62xJ132"
"176","Mounted + Freezing","Retreat","g1.H62xJ132"
